16/03/2017 02:45:19 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 02:45:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:45:25 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:47:24 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 02:47:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:47:30 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:50:02 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 02:50:07 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:50:07 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:50:50 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 02:50:50 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 13:51:26 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 13:51:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 13:51:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
16/03/2017 14:01:54 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 14:07:06 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
16/03/2017 14:07:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
16/03/2017 14:07:13 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
16/03/2017 14:07:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
16/03/2017 14:07:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
16/03/2017 14:07:33 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
